elem,allapot,bizonyitek,megjegyzes
searchcontainer/starsearch,megvan,PicasaPy/MainToolbar.qml,"Csillag-szűrő: nálunk a ★ jel a keresősáv mellett (controller.showStarred), felirat nélkül"
searchcontainer/geotagsearch,megvan,PicasaPy/MainToolbar.qml,"Geo-szűrő: objectName geoFilter + icons/geo-pin.svg (controller.showGeotagged)"
searchcontainer/searchclr,megvan,PicasaPy/MainToolbar.qml,"Keresés törlése: objectName searchClear (a ✕ gomb a mezőben)"
outputlayout/ebutton,megvan,PicasaPy/TrayBar.qml,"Nálunk „E-Mail” a felirata, az eredetiben „Email” — kötőjel miatt nem egyezik szó szerint"
outputlayout/folderbutton,megvan,PicasaPy/TrayBar.qml;PicasaPy/ExportDialogs.qml,"Az „Export” tálcagomb az Exportálás párbeszédet nyitja"
throttle/throttlethumb,megvan,PicasaPy/PicasaScrollBar.qml,"A görgetősáv fogantyúja — nálunk névtelen Rectangle a PicasaScrollBar-ban"
acquirepanel/rotate1button,megvan,PicasaPy/ImportSourceDialog.qml,"Forgatás importáláskor: objectName importRotateRight:<index> a bélyegkép-rácson (399. sor)"
acquirepanel/rotate2button,megvan,PicasaPy/ImportSourceDialog.qml,"Forgatás importáláskor (balra): objectName importRotateLeft:<index> (397. sor)"
acquirepanel/startoggle,megvan,PicasaPy/ImportSourceDialog.qml,"Csillagozás importáláskor: objectName importStar:<index> (424. sor)"
acquirepanel/excludetoggle,megvan,PicasaPy/ImportSourceDialog.qml,"Kihagyás/felvétel képenként: importSourceToggle:<index> + Exclude All / Include All (335/340/453. sor)"
acquirepanel/import_selected,megvan,PicasaPy/ImportSourceDialog.qml,"A kijelöltek importálása: a kihagyás-kapcsolóval szűrt készlet megy át, egyetlen Import gombbal (629. sor)"
acquirepanel/anowbutton,megvan,PicasaPy/ImportSourceDialog.qml,"Az összes importálása: Include All után az Import gomb (341/629. sor)"
acquirepanel/acancelbutton,megvan,PicasaPy/ImportSourceDialog.qml,"Mégse: a Close gomb (638. sor)"
acquirepanel/delete_menu,megvan,PicasaPy/ImportSourceDialog.qml,"After Copying hármas rádió: Leave card alone / Delete only copied photos / Delete everything on card (548/555/562. sor)"
acquirepanel/searchstatus,megvan,PicasaPy/ImportSourceDialog.qml,"Keresési állapot: importSourceBusyIndicator + importSourceCountText + importSourceEmptyText (304/311/319. sor)"
acquirepanel/subfolder_menu,megvan,PicasaPy/ImportSourceDialog.qml,"Almappa-elnevezés hármasa: kézi cím / dátum szerint / mai dátum — importSourceNamingManualRadio, ...ByDateRadio, ...TodayRadio (503/521/528. sor)"
collagepanel/makedesktop,megvan,PicasaPy/CollagePanel.qml,"„Desktop Background” gomb (collageMakeDesktopButton, 190. sor); a buboréksúgó szövege majdnem szó szerint az eredetié, de nem betűre — ezért nem párosult gépi úton"
collagepanel/sharebutton,megvan,PicasaPy/CollagePanel.qml,"„Create Collage” gomb (collageShareButton, 201. sor); buboréksúgója az eredetiét követi (Collages album, Projects gyűjtemény)"
collagepanel/tab2,megvan,PicasaPy/CollagePanelTabBar.qml,"„Clips (%1)” fül (collageClipsTabButton, 51. sor) — a darabszám miatt nem egyezik szó szerint a „Clips”-szel"
collagepanel/deleteclips,megvan,PicasaPy/CollageClipsTab.qml,"„Remove the selected pictures from the tray” buboréksúgó (119. sor) — az eredeti szövege „Remove selected clips from the tray”"
collagepanel/caption_checkbox,megvan,PicasaPy/CollageSettingsTab.qml,"Képfelirat-kapcsoló: collageCaptionCheckbox (499. sor), a controller collageCaptions tulajdonságával (70. sor)"
collagepanel/portrait,megvan,PicasaPy/CollageSettingsTab.qml,"Álló tájolás gomb: collagePortraitButton, a collageOrientation ==  portrait állapottal"
collagepanel/landscape,megvan,PicasaPy/CollageSettingsTab.qml,"Fekvő tájolás gomb: collageLandscapeButton (344. sor), collageOrientation == landscape (352. sor)"
quicktagconfig/recent_checkbox,megvan,PicasaPy/QuickTagsConfigDialog.qml,"quickTagsReserveRecentCheck (84. sor); a felirat nálunk „Reserve the top two buttons…”, az eredetiben „Reserve top two buttons…” — egy szó eltérés miatt nem párosult"
quicktagconfig/recent_checkbox_label,megvan,PicasaPy/QuickTagsConfigDialog.qml,"ua., a jelölőnégyzet felirata (86. sor)"
quicktagconfig/autofill,megvan,PicasaPy/QuickTagsConfigDialog.qml,"quickTagsAutoFillCheck (92. sor): „Fill the empty boxes above with frequently used tags”"
